Tri,Bubble,Insert,Select,Sort,Stable,,,,Tri,Bubble,Insert,Select,Sort,Stable
INCREASING 100,0.1371,0.0018,0.1378,0.0179,0.0218,,,,,0.1371,0.0018,0.1378,0.0179,0.0218
DECREASING 100,0.3173,0.0682,0.1561,0.0161,0.019,,,,,0.3173,0.0682,0.1561,0.0161,0.019
RANDOM 100,0.2602,0.0426,0.1506,0.0251,0.0185,,,,,0.2602,0.0426,0.1506,0.0251,0.0185
ALMOST 100,0.2258,0.034,0.1475,0.0251,0.0181,,,,,0.2258,0.034,0.1475,0.0251,0.0181
INCREASING 1000,14.9104,0.0138,12.4538,0.1492,0.1688,,,,,,,,,
DECREASING 1000,26.6094,5.0024,12.0079,0.1243,0.1333,,,,Tri,Bubble,Insert,Select,Sort,Stable
RANDOM 1000,19.7312,2.0072,20.3918,0.3241,0.1952,,,,,14.9104,0.0138,12.4538,0.1492,0.1688
ALMOST 1000,23.4921,3.0043,10.8414,0.2537,0.1358,,,,,26.6094,5.0024,12.0079,0.1243,0.1333
INCREASING 10000,1124.82,0.0965,1069.9,1.875,1.4971,,,,,19.7312,2.0072,20.3918,0.3241,0.1952
DECREASING 10000,2900.13,703.797,1338.16,1.6242,1.7116,,,,,23.4921,3.0043,10.8414,0.2537,0.1358
RANDOM 10000,2106.27,256.963,1192.52,3.6479,1.6908,,,,,,,,,
ALMOST 10000,1693.92,200.093,1137.69,3.6281,1.5976,,,,Tri,Bubble,Insert,Select,Sort,Stable
,,,,,,,,,,1124.82,0.0965,1069.9,1.875,1.4971
,,,,,,,,,,2900.13,703.797,1338.16,1.6242,1.7116
,,,,,,,,,,2106.27,256.963,1192.52,3.6479,1.6908
,,,,,,,,,,1693.92,200.093,1137.69,3.6281,1.5976
